source,date,value
GCAG,1886-08-15,-0.27
GISTEMP,1886-08-15,-.31
GCAG,1886-09-15,-0.27
GISTEMP,1886-09-15,-.24
GCAG,1886-10-15,-0.32
GISTEMP,1886-10-15,-.28
GCAG,1886-11-15,-0.28
GISTEMP,1886-11-15,-.27
GISTEMP,1886-12-15,-.25
GCAG,1886-12-15,-0.17
GISTEMP,1887-01-15,-0.72
GCAG,1887-01-15,-0.52
GCAG,1887-02-15,-0.46
GISTEMP,1887-02-15,-0.57
GCAG,1887-03-15,-0.22
GISTEMP,1887-03-15,-0.35
GCAG,1887-04-15,-0.26
GISTEMP,1887-04-15,-0.35
GCAG,1887-05-15,-0.26
GISTEMP,1887-05-15,-0.3
GCAG,1887-06-15,-0.25
GISTEMP,1887-06-15,-.25
GCAG,1887-07-15,-0.24
GISTEMP,1887-07-15,-.26
GISTEMP,1887-08-15,-.35
GCAG,1887-08-15,-0.32
GCAG,1887-09-15,-0.23
GISTEMP,1887-09-15,-.26
GISTEMP,1887-10-15,-.35
GCAG,1887-10-15,-0.33
GISTEMP,1887-11-15,-.26
GCAG,1887-11-15,-0.19
GCAG,1887-12-15,-0.17
GISTEMP,1887-12-15,-.33
GISTEMP,1888-01-15,-0.34
GCAG,1888-01-15,-0.33
GCAG,1888-02-15,-0.28
GISTEMP,1888-02-15,-0.36
GISTEMP,1888-03-15,-0.41
GCAG,1888-03-15,-0.29
GCAG,1888-04-15,-0.12
GISTEMP,1888-04-15,-0.2
GISTEMP,1888-05-15,-0.22
GCAG,1888-05-15,-0.15
GCAG,1888-06-15,-0.12
GISTEMP,1888-06-15,-.17
GISTEMP,1888-07-15,-.10
GCAG,1888-07-15,-0.11
GISTEMP,1888-08-15,-.16
GCAG,1888-08-15,-0.17
GISTEMP,1888-09-15,-.12
GCAG,1888-09-15,-0.1
GCAG,1888-10-15,0.03
GISTEMP,1888-10-15,.02
GISTEMP,1888-11-15,.03
GCAG,1888-11-15,-0.04
GCAG,1888-12-15,0.07
GISTEMP,1888-12-15,-.04
GCAG,1889-01-15,-0.02
GISTEMP,1889-01-15,-0.09
GCAG,1889-02-15,0.04
GISTEMP,1889-02-15,0.17
GCAG,1889-03-15,0.14
GISTEMP,1889-03-15,0.06
GCAG,1889-04-15,0.09
GISTEMP,1889-04-15,0.1
GISTEMP,1889-05-15,-0.01
GCAG,1889-05-15,-0.02
GISTEMP,1889-06-15,-.10
GCAG,1889-06-15,-0.08
GISTEMP,1889-07-15,-.08
GCAG,1889-07-15,-0.12
GISTEMP,1889-08-15,-.20
GCAG,1889-08-15,-0.15
GCAG,1889-09-15,-0.23
GISTEMP,1889-09-15,-.24
GCAG,1889-10-15,-0.24
GISTEMP,1889-10-15,-.25
GCAG,1889-11-15,-0.28
GISTEMP,1889-11-15,-.33
GISTEMP,1889-12-15,-.29
GCAG,1889-12-15,-0.14
GCAG,1890-01-15,-0.33
GISTEMP,1890-01-15,-0.42
GCAG,1890-02-15,-0.33
GISTEMP,1890-02-15,-0.44
GCAG,1890-03-15,-0.32
GISTEMP,1890-03-15,-0.4
GCAG,1890-04-15,-0.28
GISTEMP,1890-04-15,-0.3
GCAG,1890-05-15,-0.39
GISTEMP,1890-05-15,-0.39
GCAG,1890-06-15,-0.3
GISTEMP,1890-06-15,-.24
GCAG,1890-07-15,-0.27
GISTEMP,1890-07-15,-.28
GISTEMP,1890-08-15,-.39
GCAG,1890-08-15,-0.39
GISTEMP,1890-09-15,-.36
GCAG,1890-09-15,-0.42
GCAG,1890-10-15,-0.35
GISTEMP,1890-10-15,-.25
GCAG,1890-11-15,-0.44
GISTEMP,1890-11-15,-.43
GISTEMP,1890-12-15,-.31
GCAG,1890-12-15,-0.28
GCAG,1891-01-15,-0.38
GISTEMP,1891-01-15,-0.33
GCAG,1891-02-15,-0.54
GISTEMP,1891-02-15,-0.47
GCAG,1891-03-15,-0.24
GISTEMP,1891-03-15,-0.18
GISTEMP,1891-04-15,-0.27
GCAG,1891-04-15,-0.25
GISTEMP,1891-05-15,-0.16
GCAG,1891-05-15,-0.17
GCAG,1891-06-15,-0.19
GISTEMP,1891-06-15,-.21
GCAG,1891-07-15,-0.19
GISTEMP,1891-07-15,-.17
GISTEMP,1891-08-15,-.17
GCAG,1891-08-15,-0.21
GCAG,1891-09-15,-0.15
GISTEMP,1891-09-15,-.15
GCAG,1891-10-15,-0.29
GISTEMP,1891-10-15,-.21
GISTEMP,1891-11-15,-.31
GCAG,1891-11-15,-0.4
GCAG,1891-12-15,-0.06
GISTEMP,1891-12-15,-.04
GISTEMP,1892-01-15,-0.28
GCAG,1892-01-15,-0.23
GCAG,1892-02-15,-0.12
GISTEMP,1892-02-15,-0.11
GCAG,1892-03-15,-0.25
GISTEMP,1892-03-15,-0.4
GISTEMP,1892-04-15,-0.33
GCAG,1892-04-15,-0.33
GISTEMP,1892-05-15,-0.23
GCAG,1892-05-15,-0.27
GCAG,1892-06-15,-0.3
